case_id,model,uses_nonthermal_error,mean_nonthermal_error_urad,p95_nonthermal_error_urad,mean_uncorrected_total_error_urad,p95_uncorrected_total_error_urad,success_rate,mean_acquisition_time_s,median_acquisition_time_s,p95_acquisition_time_s,mean_initial_error_urad,p95_initial_error_urad,mean_thermal_residual_urad,p95_thermal_residual_urad
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,no_correction,False,0,0,150,224,0.907,5.95,5.8,13.4,150,224,150,224
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,static_bias_correction,False,0,0,150,224,1,3.79,1.5,18.5,112,270,112,270
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,bcase_correction,False,0,0,150,224,1,0.1,0.1,0.1,7.53,16.2,7.53,16.2
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,thermal_truth_correction,False,0,0,150,224,1,0.1,0.1,0.1,0,0,0,0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,thermal_plus_nonthermal_no_correction,True,93.8,174,133,291,0.977,4.83,3,18.6,133,291,150,224
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,bcase_correction_with_nonthermal,True,93.8,174,133,291,0.97,2.24,1.7,6.1,96.1,173,7.53,16.2
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,no_correction,False,0,0,920,1.02e+03,0.96,121,123,145,920,1.02e+03,920,1.02e+03
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,static_bias_correction,False,0,0,920,1.02e+03,0.993,6.35,4.5,21.2,131,295,131,295
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,bcase_correction,False,0,0,920,1.02e+03,1,0.135,0.1,0.4,12.8,28,12.8,28
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,thermal_truth_correction,False,0,0,920,1.02e+03,1,0.1,0.1,0.1,0,0,0,0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,thermal_plus_nonthermal_no_correction,True,97.7,173,997,1.12e+03,0.97,146,145,186,997,1.12e+03,920,1.02e+03
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,bcase_correction_with_nonthermal,True,97.7,173,997,1.12e+03,0.97,2.18,1.5,5.99,96.4,178,12.8,28
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,no_correction,False,0,0,885,1e+03,1,121,130,162,885,1e+03,885,1e+03
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,static_bias_correction,False,0,0,885,1e+03,0.99,6.53,4.5,21.2,132,293,132,293
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,bcase_correction,False,0,0,885,1e+03,1,0.141,0.1,0.4,12.6,29.4,12.6,29.4
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,thermal_truth_correction,False,0,0,885,1e+03,1,0.1,0.1,0.1,0,0,0,0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,thermal_plus_nonthermal_no_correction,True,97.5,178,955,1.11e+03,0.963,136,130,195,955,1.11e+03,885,1e+03
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,bcase_correction_with_nonthermal,True,97.5,178,955,1.11e+03,0.973,2.18,1.3,5.78,96.3,187,12.6,29.4
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,no_correction,False,0,0,1.25e+03,1.39e+03,0.973,384,404,484,1.25e+03,1.39e+03,1.25e+03,1.39e+03
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,static_bias_correction,False,0,0,1.25e+03,1.39e+03,1,3.19,1.5,13.4,96.6,258,96.6,258
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,bcase_correction,False,0,0,1.25e+03,1.39e+03,1,0.1,0.1,0.1,5.98,8.87,5.98,8.87
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,thermal_truth_correction,False,0,0,1.25e+03,1.39e+03,1,0.1,0.1,0.1,0,0,0,0
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,thermal_plus_nonthermal_no_correction,True,83.8,155,1.2e+03,1.37e+03,0.983,357,378,456,1.2e+03,1.37e+03,1.25e+03,1.39e+03
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,bcase_correction_with_nonthermal,True,83.8,155,1.2e+03,1.37e+03,0.97,1.76,1.4,4.6,82.4,152,5.98,8.87
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,no_correction,False,0,0,963,1.08e+03,0.95,138,130,173,963,1.08e+03,963,1.08e+03
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,static_bias_correction,False,0,0,963,1.08e+03,0.947,7.71,4.4,27.5,142,324,142,324
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,bcase_correction,False,0,0,963,1.08e+03,1,0.134,0.1,0.4,11.1,28,11.1,28
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,thermal_truth_correction,False,0,0,963,1.08e+03,1,0.1,0.1,0.1,0,0,0,0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,thermal_plus_nonthermal_no_correction,True,118,195,1.06e+03,1.19e+03,0.973,167,161,195,1.06e+03,1.19e+03,963,1.08e+03
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,bcase_correction_with_nonthermal,True,118,195,1.06e+03,1.19e+03,0.987,3.13,2.2,9.1,115,198,11.1,28
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,no_correction,False,0,0,162,163,1,5.8,5.8,5.8,162,163,162,163
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,static_bias_correction,False,0,0,162,163,1,0.1,0.1,0.1,3.57,6.94,3.57,6.94
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,bcase_correction,False,0,0,162,163,1,0.1,0.1,0.1,3.94,6.72,3.94,6.72
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,thermal_truth_correction,False,0,0,162,163,1,0.1,0.1,0.1,0,0,0,0
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,thermal_plus_nonthermal_no_correction,True,97.7,179,117,198,0.983,3.06,2.6,9.05,117,198,162,163
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,bcase_correction_with_nonthermal,True,97.7,179,117,198,0.96,2.23,1.5,5.86,96.5,178,3.94,6.72
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,no_correction,False,0,0,245,418,0.917,16.5,18.4,46.7,245,418,245,418
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,static_bias_correction,False,0,0,245,418,1,13.2,5.8,65.3,202,514,202,514
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,bcase_correction,False,0,0,245,418,1,0.139,0.1,0.5,12,27.4,12,27.4
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,thermal_truth_correction,False,0,0,245,418,1,0.1,0.1,0.1,0,0,0,0
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,thermal_plus_nonthermal_no_correction,True,85.1,159,230,480,0.977,14.4,9.4,46.8,230,480,245,418
