case_id,sun_face,i_prop,i_pcdu,raw_rms_dom_urad,raw_peak_dom_urad,rmse_bcase_test_urad,b_emp_urad,b_pred_insample_urad,a_emp_urad_per_c
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,MY,1,1,159.9398794396246,257.1606900315324,6.842289923670526,-34.0591739542483,-30.25413095969765,28.63827593995231
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,PX,1,1,602.3288278915896,761.2183890415641,5.309766130095618,-10.51097558075904,-12.044924691555424,-28.142683140205545
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,PX,0,0,665.8441677673155,830.406128758497,6.15501081434086,-13.514984170150916,-12.044924691555424,-28.115629376067645
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,PY,1,1,1251.8470348540804,1424.2993567583817,3.8613477914072503,-58.81205672952264,-57.052277648706905,-28.71461233146085
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,MX,1,1,666.8980886506338,838.1640050852511,2.9802352833385304,15.273781041029288,15.700907245486011,30.641405666408193
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,MY,1,1,161.03939832088702,163.13849807464564,1.2575766457923794,-26.748596183985065,-30.25413095969765,28.270730199549252
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,MY,1,1,264.52562701259734,530.6918724577833,13.052278847638743,-33.37942014308101,-30.25413095969765,28.73120946906477
12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,MY,1,1,180.24255103189887,220.17346283843528,2.4351432337963277,-32.671467089335785,-30.25413095969765,28.7274555235675
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,1,0,156.43301511154317,266.3134631487544,6.611112924232257,-22.775705068101736,-20.06079591469216,28.60461521681464
14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,MY,0,1,258.30904171548,363.4148297834028,6.593812604007135,-8.42703014937433,-7.391487869907339,28.603805178364162
15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,MY,0,0,252.90492224416158,358.3784666541942,6.716916052973638,3.0228930309645268,2.8018471750981555,28.578062010698922
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,0,0,1216.3856957726716,1391.961991340345,3.1903529498619716,-22.44771887358291,-23.9962995139111,-28.702437796229127
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,MX,0,0,725.8339621507813,902.91954201631,2.798604726241143,15.174411340124493,15.700907245486011,30.621218728163843
18_LTAN06_800km_1213COLD_PY_STTLCT_PROP_HEAT_PY_0p5,PY,1,0,1284.5531756896662,1457.4641356518362,2.9748805677509353,-45.91365994648636,-46.85894260370142,-28.7093270745014
19_LTAN06_800km_1213COLD_PY_STTLCT_PCDU_HEAT_PY_0p5,PY,0,1,1180.9777976071896,1355.9840329842043,2.893485817198002,-34.92371877564413,-34.189634558916595,-28.69001057435618
20_LTAN06_800km_1213COLD_PX_STTLCT_PROP_HEAT_PX_0p5,PX,1,0,614.5059273039556,774.5801130238864,5.292606551555157,-10.402905018879238,-12.044924691555424,-28.137287363825887
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,PX,0,1,653.9880247510254,817.2700203358394,6.3739340646476625,-13.750833996432544,-12.044924691555424,-28.122776941968976
22_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5_PROP12p5,MY,1,1,204.29336283310488,293.99483252691806,14.750492216555799,-18.972203170865278,-30.25413095969765,28.61066999217257
23_LTAN06_800km_1213COLD_MX_STTLCT_PROP_HEAT_MX_0p5,MX,1,0,681.9011745600367,847.6181178197927,4.226359820601698,16.945852948079597,15.700907245486011,30.615636643158496
24_LTAN06_800km_1213COLD_MX_STTLCT_PCDU_HEAT_MX_0p5,MX,0,1,709.3792580251697,877.9978333731456,3.5826702061756976,15.409583652710674,15.700907245486011,30.60041231088602
25_LTAN18_693km_SENTINEL1_MY_ALL_HEAT_MY_0p5,MY,1,1,150.9646668082089,152.4084854435854,0.9185784703027352,-32.16451963966008,-30.25413095969765,28.768537207116243
