case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,no_correction_success,no_correction_acquisition_time_s,no_correction_residual_x_urad,no_correction_residual_y_urad,no_correction_residual_norm_urad,no_correction_pointing_error_x_urad,no_correction_pointing_error_y_urad,no_correction_pointing_error_norm_urad,no_correction_thermal_residual_norm_urad,no_correction_scan_index,thermal_truth_correction_success,thermal_truth_correction_acquisition_time_s,thermal_truth_correction_residual_x_urad,thermal_truth_correction_residual_y_urad,thermal_truth_correction_residual_norm_urad,thermal_truth_correction_pointing_error_x_urad,thermal_truth_correction_pointing_error_y_urad,thermal_truth_correction_pointing_error_norm_urad,thermal_truth_correction_thermal_residual_norm_urad,thermal_truth_correction_scan_index,thermal_plus_nonthermal_no_correction_success,thermal_plus_nonthermal_no_correction_acquisition_time_s,thermal_plus_nonthermal_no_correction_residual_x_urad,thermal_plus_nonthermal_no_correction_residual_y_urad,thermal_plus_nonthermal_no_correction_residual_norm_urad,thermal_plus_nonthermal_no_correction_pointing_error_x_urad,thermal_plus_nonthermal_no_correction_pointing_error_y_urad,thermal_plus_nonthermal_no_correction_pointing_error_norm_urad,thermal_plus_nonthermal_no_correction_thermal_residual_norm_urad,thermal_plus_nonthermal_no_correction_scan_index,thermal_truth_correction_with_nonthermal_success,thermal_truth_correction_with_nonthermal_acquisition_time_s,thermal_truth_correction_with_nonthermal_residual_x_urad,thermal_truth_correction_with_nonthermal_residual_y_urad,thermal_truth_correction_with_nonthermal_residual_norm_urad,thermal_truth_correction_with_nonthermal_pointing_error_x_urad,thermal_truth_correction_with_nonthermal_pointing_error_y_urad,thermal_truth_correction_with_nonthermal_pointing_error_norm_urad,thermal_truth_correction_with_nonthermal_thermal_residual_norm_urad,thermal_truth_correction_with_nonthermal_scan_index
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,0.0,-595.6206903255593,-702.2766222619031,920.8455141441932,-192.38673145326436,-54.38126718659686,199.92492756054833,-788.0074217788236,-756.6578894484999,1092.4682413888136,1.0,109.5,4.379309674440719,-22.27662226190307,22.703000960757713,-595.6206903255593,-702.2766222619031,920.8455141441932,920.8455141441932,1094.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,160.5,11.992578221176359,3.3421105515001273,12.449563660204403,-788.0074217788236,-756.6578894484999,1092.4682413888136,920.8455141441932,1604.0,1.0,11.100000000000001,7.61326854673564,-14.381267186596801,16.272145029374588,-192.38673145326436,-54.3812671865968,199.92492756054833,0.0,110.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,0.0,-595.6206903255593,-702.2766222619031,920.8455141441932,-134.51946314410384,-189.23977220091592,232.1791923218626,-730.1401534696631,-891.516394462819,1152.3480920731754,1.0,109.5,4.379309674440719,-22.27662226190307,22.703000960757713,-595.6206903255593,-702.2766222619031,920.8455141441932,920.8455141441932,1094.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,185.9,-10.140153469663119,-11.516394462818994,15.344381832174568,-730.1401534696631,-891.516394462819,1152.3480920731754,920.8455141441932,1858.0,1.0,8.700000000000001,-14.519463144103838,10.760227799084078,18.07200354916885,-134.51946314410384,-189.23977220091592,232.1791923218626,0.0,86.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,60.5,-602.8588761327866,-702.5485398693864,925.7501149903754,-100.41840158405546,-118.28353446254997,155.16072280590174,-703.277277716842,-820.8320743319364,1080.908980259153,1.0,109.5,-2.858876132786577,-22.548539869386445,22.729052399603614,-602.8588761327866,-702.5485398693864,925.7501149903754,925.7501149903754,1094.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,-703.277277716842,-820.8320743319364,1080.908980259153,925.7501149903754,nan,1.0,2.7,19.58159841594454,1.7164655374500626,19.656684625454403,-100.41840158405546,-118.28353446254994,155.1607228059017,0.0,26.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,121.0,-609.9497594297046,-702.9858438682784,930.7136002592581,-126.53143257545743,-151.32856291630273,197.2575407529733,-736.481192005162,-854.3144067845811,1127.9439932093417,1.0,123.30000000000001,-9.949759429704613,17.01415613172162,19.709876244755986,-609.9497594297046,-702.9858438682784,930.7136002592581,930.7136002592581,1232.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,168.9,-16.48119200516203,-14.314406784581138,21.829611345726686,-736.481192005162,-854.3144067845811,1127.9439932093417,930.7136002592581,1688.0,1.0,5.300000000000001,-6.531432575457416,8.671437083697242,10.856032082868309,-126.53143257545742,-151.32856291630276,197.2575407529733,0.0,52.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,181.5,-616.8714834098956,-703.5834918748553,935.7137153441429,-150.99780298239068,-91.54866657128585,176.58282718455195,-767.8692863922863,-795.1321584461411,1105.3770353955333,1.0,123.30000000000001,-16.87148340989563,16.416508125144674,23.54036302764519,-616.8714834098956,-703.5834918748553,935.7137153441429,935.7137153441429,1232.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,152.5,-7.8692863922863125,4.867841553858852,9.253191326093798,-767.8692863922863,-795.1321584461411,1105.3770353955333,935.7137153441429,1524.0,1.0,7.1000000000000005,9.00219701760932,-11.548666571285821,14.642788351901721,-150.99780298239068,-91.54866657128582,176.58282718455195,0.0,70.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,242.0,-623.6313462414911,-704.2988865374796,940.7193936519583,-94.76522165236256,-83.97125606163218,126.61603010436555,-718.3965678938537,-788.2701425991118,1066.5193136905175,1.0,123.10000000000001,16.368653758508913,15.701113462520425,22.68166197237072,-623.6313462414911,-704.2988865374796,940.7193936519583,940.7193936519583,1230.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,152.70000000000002,1.6034321061463288,11.72985740088825,11.83894206270956,-718.3965678938537,-788.2701425991118,1066.5193136905175,940.7193936519583,1526.0,1.0,1.1,-14.765221652362584,-3.9712560616321753,15.28995242472805,-94.76522165236258,-83.97125606163218,126.61603010436556,0.0,10.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,302.5,-630.2307886867125,-705.1138779007891,945.7147708569241,-90.54816952703897,-89.92496833664744,127.61454045305508,-720.7789582137514,-795.0388462374366,1073.130501677338,1.0,123.10000000000001,9.769211313287542,14.886122099210866,17.805451997528156,-630.2307886867125,-705.1138779007891,945.7147708569241,945.7147708569241,1230.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,152.70000000000002,-0.7789582137513662,4.961153762563413,5.021934144786033,-720.7789582137514,-795.0388462374366,1073.130501677338,945.7147708569241,1526.0,1.0,1.1,-10.548169527038908,-9.924968336647453,14.483400044692777,-90.54816952703891,-89.92496833664745,127.61454045305506,0.0,10.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,363.0,-636.6674314951227,-706.0251408655372,950.6928620016027,-150.80139869348253,-142.41961261431493,207.42325786931949,-787.4688301886052,-848.4447534798521,1157.5688567969066,1.0,123.10000000000001,3.3325685048772584,13.974859134462804,14.366721987557854,-636.6674314951227,-706.0251408655372,950.6928620016027,950.6928620016027,1230.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,168.5,12.531169811394761,-8.444753479852125,15.11105814221777,-787.4688301886052,-848.4447534798521,1157.5688567969066,950.6928620016027,1684.0,1.0,5.1000000000000005,9.198601306517503,17.58038738568507,19.841478942534003,-150.8013986934825,-142.41961261431493,207.42325786931946,0.0,50.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,423.5,-642.9594642688043,-706.9952482447553,955.6354711570154,53.32932073432239,-138.19994910203465,148.1325162879143,-589.6301435344818,-845.19519734679,1030.5428801280289,1.0,123.10000000000001,-2.959464268804254,13.004751755244683,13.337240980572735,-642.9594642688043,-706.9952482447553,955.6354711570154,955.6354711570154,1230.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,169.5,10.369856465518183,-5.195197346789996,11.59844811117173,-589.6301435344818,-845.19519734679,1030.5428801280289,955.6354711570154,1694.0,1.0,3.5,13.329320734322437,-18.19994910203468,22.559010141295893,53.32932073432244,-138.19994910203468,148.13251628791434,0.0,34.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,484.0,-649.1095718938208,-708.0198999111238,960.5391272584044,-169.02737748439506,-93.30564272203999,193.07044647751027,-818.1369493782158,-801.3255426331639,1145.1946093194065,1.0,123.10000000000001,-9.109571893820771,11.980100088876156,15.050152764280497,-649.1095718938208,-708.0198999111238,960.5391272584044,960.5391272584044,1230.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,152.3,-18.13694937821583,-1.3255426331638773,18.1853236435401,-818.1369493782158,-801.3255426331639,1145.1946093194065,960.5391272584044,1522.0,1.0,7.1000000000000005,-9.02737748439506,-13.305642722040034,16.07898232141387,-169.02737748439506,-93.30564272204003,193.0704464775103,0.0,70.0
