case_id,sun_face,mode,orbit_index,n_samples,r_obs_x_urad,r_obs_y_urad,r_obs_norm_urad,delta_b_x_urad,delta_b_y_urad,b_adapt_x_urad,b_adapt_y_urad,w_orbit_small,promoted_norm_urad,layer
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",0,101,0.6286511054669689,-0.6605243164565424,0.9118632490868489,0.2514604421867876,-0.264209726582617,0.0,0.0,1.0,0.0,delta_b_thermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",1,100,4.154067103922824,2.3854613596490815,4.790271328669452,1.9130872837559172,0.6899748172770156,0.0,0.0,1.0,0.0,delta_b_thermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",2,100,-3.3982405526225063,2.763690298145724,4.380185260642856,0.5537910627069145,1.795450936535305,0.0,0.0,1.0,0.0,delta_b_thermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",0,101,129.54373888685777,75.13834857323168,149.7576432476782,51.81749555474311,30.055339429292673,0.0,0.0,1.0,0.0,delta_b_nonthermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",1,100,89.53975558584068,44.16237423494267,99.83828488330123,87.63339778907938,47.72028912326974,0.0,0.0,1.0,0.0,delta_b_nonthermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",2,100,-4.0278404518034865,3.4403501251223334,5.297122585764253,86.022261608358,49.09642917331867,0.0,0.0,1.0,0.0,delta_b_nonthermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",0,101,0.9452669089676677,-2.61374220740377,2.7794204172728567,0.35920142540771377,-0.9932220388134327,0.01890533817935336,-0.05227484414807541,1.0,0.05558840834545715,slow_b_thermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",1,100,-1.2400101866533375,-9.565088982936494,9.645131026300117,-0.12996251679094017,-4.578294750388629,0.012065205716672297,-0.2932377257474769,1.0,0.24105994632205952,slow_b_thermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",2,100,10.309627821617745,12.238051677197562,16.001822854726043,3.79419418126335,0.30107962446587644,0.21175963630948022,-0.2773914297229571,1.0,0.2003221672893005,slow_b_thermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",0,101,138.02041353345976,58.251932699154985,149.80961990184116,52.447757142714714,22.135734425678894,2.7604082706691955,1.1650386539830997,1.0,2.9961923980368232,slow_b_nonthermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",1,100,86.58739457991186,54.59387871195551,102.36145999815096,82.7285792259455,41.77462161493805,7.114544019403168,3.363702949506155,1.0,4.8777682194638,slow_b_nonthermal
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,"('MY', 1, 0)",2,100,-13.027591701990586,2.7124560066790266,13.30697422940103,73.64166541789179,40.71662381672918,10.990421146660632,5.506683150386638,1.0,4.428858503831807,slow_b_nonthermal
