case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,no_correction_success,no_correction_acquisition_time_s,no_correction_residual_x_urad,no_correction_residual_y_urad,no_correction_residual_norm_urad,no_correction_pointing_error_x_urad,no_correction_pointing_error_y_urad,no_correction_pointing_error_norm_urad,no_correction_thermal_residual_norm_urad,no_correction_scan_index,thermal_truth_correction_success,thermal_truth_correction_acquisition_time_s,thermal_truth_correction_residual_x_urad,thermal_truth_correction_residual_y_urad,thermal_truth_correction_residual_norm_urad,thermal_truth_correction_pointing_error_x_urad,thermal_truth_correction_pointing_error_y_urad,thermal_truth_correction_pointing_error_norm_urad,thermal_truth_correction_thermal_residual_norm_urad,thermal_truth_correction_scan_index,static_bias_correction_success,static_bias_correction_acquisition_time_s,static_bias_correction_residual_x_urad,static_bias_correction_residual_y_urad,static_bias_correction_residual_norm_urad,static_bias_correction_pointing_error_x_urad,static_bias_correction_pointing_error_y_urad,static_bias_correction_pointing_error_norm_urad,static_bias_correction_thermal_residual_norm_urad,static_bias_correction_scan_index,fourier_ff_correction_success,fourier_ff_correction_acquisition_time_s,fourier_ff_correction_residual_x_urad,fourier_ff_correction_residual_y_urad,fourier_ff_correction_residual_norm_urad,fourier_ff_correction_pointing_error_x_urad,fourier_ff_correction_pointing_error_y_urad,fourier_ff_correction_pointing_error_norm_urad,fourier_ff_correction_thermal_residual_norm_urad,fourier_ff_correction_scan_index,fourier_plus_drift_correction_success,fourier_plus_drift_correction_acquisition_time_s,fourier_plus_drift_correction_residual_x_urad,fourier_plus_drift_correction_residual_y_urad,fourier_plus_drift_correction_residual_norm_urad,fourier_plus_drift_correction_pointing_error_x_urad,fourier_plus_drift_correction_pointing_error_y_urad,fourier_plus_drift_correction_pointing_error_norm_urad,fourier_plus_drift_correction_thermal_residual_norm_urad,fourier_plus_drift_correction_scan_index,thermal_plus_nonthermal_no_correction_success,thermal_plus_nonthermal_no_correction_acquisition_time_s,thermal_plus_nonthermal_no_correction_residual_x_urad,thermal_plus_nonthermal_no_correction_residual_y_urad,thermal_plus_nonthermal_no_correction_residual_norm_urad,thermal_plus_nonthermal_no_correction_pointing_error_x_urad,thermal_plus_nonthermal_no_correction_pointing_error_y_urad,thermal_plus_nonthermal_no_correction_pointing_error_norm_urad,thermal_plus_nonthermal_no_correction_thermal_residual_norm_urad,thermal_plus_nonthermal_no_correction_scan_index,fourier_ff_correction_with_nonthermal_success,fourier_ff_correction_with_nonthermal_acquisition_time_s,fourier_ff_correction_with_nonthermal_residual_x_urad,fourier_ff_correction_with_nonthermal_residual_y_urad,fourier_ff_correction_with_nonthermal_residual_norm_urad,fourier_ff_correction_with_nonthermal_pointing_error_x_urad,fourier_ff_correction_with_nonthermal_pointing_error_y_urad,fourier_ff_correction_with_nonthermal_pointing_error_norm_urad,fourier_ff_correction_with_nonthermal_thermal_residual_norm_urad,fourier_ff_correction_with_nonthermal_scan_index,thermal_truth_correction_with_nonthermal_success,thermal_truth_correction_with_nonthermal_acquisition_time_s,thermal_truth_correction_with_nonthermal_residual_x_urad,thermal_truth_correction_with_nonthermal_residual_y_urad,thermal_truth_correction_with_nonthermal_residual_norm_urad,thermal_truth_correction_with_nonthermal_pointing_error_x_urad,thermal_truth_correction_with_nonthermal_pointing_error_y_urad,thermal_truth_correction_with_nonthermal_pointing_error_norm_urad,thermal_truth_correction_with_nonthermal_thermal_residual_norm_urad,thermal_truth_correction_with_nonthermal_scan_index
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,0.0,24.262812908416713,-590.7851330974819,591.2831450153456,-238.41983477079597,74.22715279221349,249.7072041887704,-214.15702186237925,-516.5579803052684,559.1917175978393,1.0,87.5,-15.737187091583287,9.21486690251811,18.236579437674692,24.262812908416713,-590.7851330974819,591.2831450153456,591.2831450153456,874.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.3226098328756883,2.137025299302877,2.513199932333281,1.3226098328756883,2.137025299302877,2.513199932333281,2.513199932333281,0.0,1.0,0.1,-1.3661477813417768,-8.102479220711643,8.216844241101873,-1.3661477813417768,-8.102479220711643,8.216844241101873,8.216844241101873,0.0,1.0,0.1,-0.0776886583036891,-0.20292376099303056,0.21728686201559438,-0.0776886583036891,-0.20292376099303056,0.21728686201559438,0.21728686201559438,0.0,1.0,64.3,-14.157021862379253,3.4420196947315844,14.569446372144833,-214.15702186237925,-516.5579803052684,559.1917175978393,591.2831450153456,642.0,1.0,16.3,0.21401744786226118,-13.87532642849817,13.876976866932123,-239.78598255213774,66.12467357150183,248.7363863278386,8.216844241101873,162.0,1.0,16.3,1.5801652292040274,-5.772847207786526,5.985205680345005,-238.41983477079597,74.22715279221347,249.70720418877036,0.0,162.0
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,0.0,24.262812908416713,-590.7851330974819,591.2831450153456,-196.28459057902117,61.15109877841543,205.5896334462939,-172.02177767060445,-529.6340343190665,556.8695559123743,1.0,87.5,-15.737187091583287,9.21486690251811,18.236579437674692,24.262812908416713,-590.7851330974819,591.2831450153456,591.2831450153456,874.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.3226098328756883,2.137025299302877,2.513199932333281,1.3226098328756883,2.137025299302877,2.513199932333281,2.513199932333281,0.0,1.0,0.1,-1.3661477813417768,-8.102479220711643,8.216844241101873,-1.3661477813417768,-8.102479220711643,8.216844241101873,8.216844241101873,0.0,1.0,0.1,-0.0776886583036891,-0.20292376099303056,0.21728686201559438,-0.0776886583036891,-0.20292376099303056,0.21728686201559438,0.21728686201559438,0.0,1.0,64.5,-12.02177767060445,-9.634034319066473,15.405770205426094,-172.02177767060445,-529.6340343190665,556.8695559123743,591.2831450153456,644.0,1.0,11.5,2.3492616396370636,13.048619557703773,13.258412522363287,-197.65073836036294,53.04861955770377,204.6459635843684,8.216844241101873,114.0,1.0,11.5,3.7154094209788298,21.151098778415417,21.474944626233253,-196.28459057902117,61.15109877841542,205.5896334462939,0.0,114.0
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,605.0,19.670886001259564,-598.795449610003,599.1184642703979,-124.27579455769734,-226.39550711472174,258.26226738468597,-104.60490855643778,-825.1909567247246,831.7946272694763,1.0,87.30000000000001,19.670886001259564,1.2045503899970527,19.70773192725615,19.670886001259564,-598.795449610003,599.1184642703979,599.1184642703979,872.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,-3.26931707428146,-5.873291213218181,6.721903287570729,-3.26931707428146,-5.873291213218181,6.721903287570729,6.721903287570729,0.0,1.0,0.1,0.40526275984460014,0.5073373550434326,0.6493297285195927,0.40526275984460014,0.5073373550434326,0.6493297285195927,0.6493297285195927,0.0,1.0,0.1,0.583584383395447,1.6006289695927762,1.703697106542908,0.583584383395447,1.6006289695927762,1.703697106542908,1.703697106542908,0.0,1.0,171.9,15.395091443562222,14.809043275275371,21.361568371367806,-104.60490855643778,-825.1909567247246,831.7946272694763,599.1184642703979,1718.0,1.0,12.9,-3.870531797852749,14.111830240321751,14.63300273798405,-123.87053179785275,-225.88816975967825,257.6225414928982,0.6493297285195927,128.0,1.0,12.9,-4.275794557697338,13.604492885278319,14.260597665077807,-124.27579455769734,-226.39550711472168,258.2622673846859,0.0,128.0
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,1210.0,19.959038400524598,-608.981797354849,609.3087827394384,29.658202379023585,-208.3529925812477,210.45326912622804,49.61724077954818,-817.3347899360967,818.8394405635693,1.0,87.30000000000001,19.959038400524598,-8.98179735484905,21.88688871441505,19.959038400524598,-608.981797354849,609.3087827394384,609.3087827394384,872.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,-2.9811646750164265,-16.059638958064284,16.33399358035082,-2.9811646750164265,-16.059638958064284,16.33399358035082,16.33399358035082,0.0,1.0,0.1,-0.398262965723557,-0.6030208665372356,0.7226669740248558,-0.398262965723557,-0.6030208665372356,0.7226669740248558,0.7226669740248558,0.0,1.0,0.1,0.18034808140069458,2.944449111079507,2.949967118156033,0.18034808140069458,2.944449111079507,2.949967118156033,2.949967118156033,0.0,1.0,156.5,9.617240779548183,-17.33478993609674,19.823881111941862,49.61724077954818,-817.3347899360967,818.8394405635693,609.3087827394384,1564.0,1.0,9.5,-10.740060586699972,-8.956013447784926,13.984243929612019,29.259939413300028,-208.95601344778493,210.99469095325802,0.7226669740248558,94.0,1.0,9.5,-10.341797620976415,-8.35299258124769,13.293805440716078,29.658202379023585,-208.3529925812477,210.45326912622804,0.0,94.0
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,1815.0,26.588080244288896,-612.4178732511457,612.9947613875122,-485.02809863441706,73.16737200619042,490.5157701758528,-458.44001839012816,-539.2505012449553,707.7841150763958,1.0,87.5,-13.411919755711104,-12.417873251145693,18.277942105586,26.588080244288896,-612.4178732511457,612.9947613875122,612.9947613875122,874.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,3.647877168747872,-19.495714854360926,19.834059229537996,3.647877168747872,-19.495714854360926,19.834059229537996,19.834059229537996,0.0,1.0,0.1,0.40180843590758997,0.46760451626357735,0.616525751933038,0.40180843590758997,0.46760451626357735,0.616525751933038,0.616525751933038,0.0,1.0,0.1,1.0933608329939624,4.707519012894181,4.832822484623811,1.0933608329939624,4.707519012894181,4.832822484623811,4.832822484623811,0.0,0.0,nan,nan,nan,nan,-458.44001839012816,-539.2505012449553,707.7841150763958,612.9947613875122,nan,1.0,60.7,-4.62629019850948,-6.36502347754606,7.8686774537108475,-484.6262901985095,73.63497652245394,490.1884850942872,0.616525751933038,606.0,1.0,60.7,-5.028098634417063,-6.832627993809638,8.483311922782155,-485.02809863441706,73.16737200619036,490.5157701758528,0.0,606.0
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,2420.0,20.894755172669356,-602.1725640057055,602.534967976906,-469.0963516097829,-48.340140514829194,471.58048759316,-448.20159643711355,-650.5127045205346,789.9692714222481,1.0,87.30000000000001,20.894755172669356,-2.1725640057054534,21.007399365097047,20.894755172669356,-602.1725640057055,602.534967976906,602.534967976906,872.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,-2.0454479028716683,-9.250405608920687,9.47385143713545,-2.0454479028716683,-9.250405608920687,9.47385143713545,9.47385143713545,0.0,1.0,0.1,-0.3959494928620799,-0.585097173084705,0.7064805042246045,-0.3959494928620799,-0.585097173084705,0.7064805042246045,0.7064805042246045,0.0,1.0,0.1,0.6872498449137616,6.056008539694517,6.09487914418218,0.6872498449137616,6.056008539694517,6.09487914418218,6.09487914418218,0.0,1.0,97.30000000000001,-8.201596437113551,-10.512704520534612,13.333534432150486,-448.20159643711355,-650.5127045205346,789.9692714222481,602.534967976906,972.0,1.0,60.1,10.507698897354999,-8.925237687913864,13.78664585398615,-469.492301102645,-48.925237687913864,472.03463821787017,0.7064805042246045,600.0,1.0,60.1,10.903648390217086,-8.340140514829159,13.727617856881741,-469.0963516097829,-48.34014051482916,471.58048759316,0.0,600.0
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,3025.0,15.717353600822785,-595.4955159780102,595.7028997362106,-327.4651942286367,-30.41105117643446,328.8742699951677,-311.7478406278139,-625.9065671544447,699.246556618741,1.0,87.30000000000001,15.717353600822785,4.504484021989811,16.350094205161586,15.717353600822785,-595.4955159780102,595.7028997362106,595.7028997362106,872.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,-7.22284947471824,-2.573357581225423,7.667576134300064,-7.22284947471824,-2.573357581225423,7.667576134300064,7.667576134300064,0.0,1.0,0.1,0.3979975427783078,0.45930131500017524,0.607749736337632,0.3979975427783078,0.45930131500017524,0.607749736337632,0.607749736337632,0.0,1.0,0.1,1.59868909304274,7.820752929363039,7.982479764982457,1.59868909304274,7.820752929363039,7.982479764982457,7.982479764982457,0.0,1.0,97.9,8.2521593721861,14.093432845555299,16.331655876736313,-311.7478406278139,-625.9065671544447,699.246556618741,595.7028997362106,978.0,1.0,27.3,-7.0671966858583914,10.048250138565663,12.284648950775626,-327.0671966858584,-29.951749861434337,328.4357752555405,0.607749736337632,272.0,1.0,27.3,-7.465194228636676,9.588948823565488,12.152245241609812,-327.4651942286367,-30.411051176434512,328.8742699951677,0.0,272.0
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,3630.0,16.570653690293017,-597.8714073177013,598.1010000424445,61.78548171290418,-83.77075380405387,104.09123374902913,78.3561354031972,-681.6421611217552,686.1309785850374,1.0,87.30000000000001,16.570653690293017,2.128592682298745,16.70680910679108,16.570653690293017,-597.8714073177013,598.1010000424445,598.1010000424445,872.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,-6.369549385248007,-4.949248920916489,8.066363756508027,-6.369549385248007,-4.949248920916489,8.066363756508027,8.066363756508027,0.0,1.0,0.1,-0.39509435805932114,-0.5734450958426578,0.6963754947701004,-0.39509435805932114,-0.5734450958426578,0.6963754947701004,0.6963754947701004,0.0,1.0,0.1,1.193641353514895,9.167109059126005,9.244493938703782,1.193641353514895,9.167109059126005,9.244493938703782,9.244493938703782,0.0,1.0,112.9,-1.6438645968027998,-1.64216112175518,2.3235713809620444,78.3561354031972,-681.6421611217552,686.1309785850374,598.1010000424445,1128.0,1.0,1.7000000000000002,21.39038735484486,-4.344198899896583,21.8270642843276,61.39038735484486,-84.34419889989658,104.32029307686598,0.6963754947701004,16.0,1.0,1.7000000000000002,21.785481712904186,-3.770753804053925,22.109405186799346,61.785481712904186,-83.77075380405392,104.09123374902919,0.0,16.0
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,4235.0,22.02606587563375,-598.0758346674877,598.4812875864791,258.4347877321936,-240.79405909592475,353.2284224210669,280.4608536078274,-838.8698937634124,884.5117235339902,1.0,87.30000000000001,22.02606587563375,1.9241653325123025,22.109952288157473,22.02606587563375,-598.0758346674877,598.4812875864791,598.4812875864791,872.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,-0.9141371999072732,-5.153676270702931,5.2341213134069395,-0.9141371999072732,-5.153676270702931,5.2341213134069395,5.2341213134069395,0.0,1.0,0.1,0.39705401876740254,0.44635419525059206,0.5973976577097942,0.39705401876740254,0.44635419525059206,0.5973976577097942,0.5973976577097942,0.0,1.0,0.1,2.1069813056202342,10.929935081177064,11.131165756603313,2.1069813056202342,10.929935081177064,11.131165756603313,11.131165756603313,0.0,1.0,173.9,0.4608536078274028,1.1301062365876078,1.2204614511821912,280.4608536078274,-838.8698937634124,884.5117235339902,598.4812875864791,1738.0,1.0,14.700000000000001,18.831841750961075,-0.34770490067410265,18.83505143160468,258.8318417509611,-240.3477049006741,353.21514910209623,0.5973976577097942,146.0,1.0,14.700000000000001,18.434787732193627,-0.7940590959246947,18.451881437372652,258.4347877321936,-240.7940590959247,353.22842242106685,0.0,146.0
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,4840.0,27.355747833139347,-585.2229513614019,585.8619630421999,-539.6818662155923,262.73855678995824,600.2400069522313,-512.3261183824529,-322.48439457144366,605.3711558366006,1.0,87.5,-12.644252166860653,14.777048638598103,19.448349012876502,27.355747833139347,-585.2229513614019,585.8619630421999,585.8619630421999,874.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,4.415544757598322,7.699207035382869,8.875518265433467,4.415544757598322,7.699207035382869,8.875518265433467,8.875518265433467,0.0,1.0,0.1,-0.3895145698233655,-0.5526428269646431,0.6761181067684506,-0.3895145698233655,-0.5526428269646431,0.6761181067684506,0.6761181067684506,0.0,1.0,0.1,1.703588262099295,12.280191065879308,12.3977943837307,1.703588262099295,12.280191065879308,12.3977943837307,12.3977943837307,0.0,1.0,68.9,7.673881617547067,-2.4843945714436586,8.066019803270105,-512.3261183824529,-322.48439457144366,605.3711558366006,585.8619630421999,688.0,0.0,nan,nan,nan,nan,-540.0713807854156,262.1859139629936,600.3486901993505,0.6761181067684506,nan,0.0,nan,nan,nan,nan,-539.6818662155923,262.73855678995824,600.2400069522313,0.0,nan
